Node_ID,Node_Type,Name,Description,Time_Period,Location,Source_Info
ZGC001,AncientRoad,栝苍古道,栝苍古道，起源于唐末宋初，全长50华里，曾是浙江省重要的交通要道,唐末宋初,浙江省,浙江古道考古报告
LOC001,Place,丽水市,缙云县东渡镇樊庄,历史村落,丽水市,丽水市地方志
LOC002,Place,丽水市,莲都区岩泉村,历史村落,丽水市,丽水市地方志
LOC003,Place,枫树湾村,盛产杨梅，清嘉庆四年重修枫树湾经堂记石碑,历史村落,栝苍古道,丽水市地方志
LOC004,Place,银场村,历史文化民村，清嘉庆年间浙江巡抚、著名学者阮元直书“栝苍古道”四个篆体大字,历史村落,栝苍古道,丽水市地方志
LOC005,Place,余岭村,保留一段石砌筑的古道,历史村落,栝苍古道,丽水市地方志
LOC006,Place,却金馆,原名：刘山铺，有何公却金处石碑，孝子牌坊,明清,栝苍古道,丽水市地方志
LOC007_THL ,Place,桃花岭,其上有“桃花洞”，海拔690米，地势险要，是古代处州重要的军事要塞,明清,栝苍古道,过桃花岭
LOC008_CJS,Place,崇景寺,三间两进泥木结构，寺内有大殿、文昌阁、僧房等建筑,清代乾隆,栝苍古道,丽水市地方志
LOC009_JKQ,Place,荆坑桥,桃花岭栝苍古道必经通道,清光绪年,栝苍古道,丽水市地方志
LOC010_DDDQ,Place,东渡大桥,有“好溪”，谢灵运的赋诗游宴之地,明清,栝苍古道,丽水市地方志
EVT001_FDGTLH,Event,冯大杲与桃花岭,冯大杲率领山民开垦田地、种麻致富的故事,明清,栝苍古道,处州府志
EVT002_LYFGL,Event,楼钥与冯公岭,楼钥仁慈爱民，为民伸张正义的故事,明清,栝苍古道,缙云县志
EVT003_HWYYJG ,Event,何文渊与却金馆,原名“刘山铺”，因何文渊“却金”典故得名，现存何公却金处石碑、孝子牌坊,明清,栝苍古道,丽水市地方志
EVT004_TPGZS,Event,300多太平天国志士,清朝时期，300多名太平天国战士在栝苍古道沿线展开战斗，部分战士牺牲，后人在此修建纪念碑,清朝,栝苍古道,丽水市地方志
ART002_XZPF,Artifact,孝子牌坊,陈登朝的故事，袁枚（诗人）：客怀见碑先下马，试水屡烹茶,清朝,丽水市却金馆村口,丽水市地方志
ART003_GCGDS,Artifact,”瓯婺通衢“残碑,在东渡大桥城隍山脚的古道旁,清朝,栝苍古道,丽水市地方志
TXT001,Artifact,北乡古栝苍道记,陈遇春，立于却金馆第一公馆旧址前，碑高106厘米，宽85厘米,清,栝苍古道,道光版丽水县志稿
TXT002,Artifact,冯公岭修路补记,张铣，记录冯公岭修路历史，碑文记载道路修缮情况,清,栝苍古道,丽水市地方志
P002,Poetry,题缙云岭永望馆,吴筠，人惊此路险，我爱山前深犹恐佳趣尽，欲行且沉吟,唐,栝苍古道,全唐诗
P003,Poetry,缙云道中,沈说，去作京华客，离家此月前回程恰中道，数日近残年,南宋,栝苍古道,缙云县志
P004,Poetry,栝苍道上,王光美，空山频立马，马首扑清辉行李盘云磴，抠衣湿翠微,明,栝苍古道,东瓯诗存
T002,TravelNotes,桃花隘诸山记,蒋薰，描述了从丹山至桃花隘的自然景观和历史遗迹,清,栝苍古道,小方壶斋舆地丛抄
T003,TravelNotes,仙都纪游,项士元，描绘了当地的自然风光、历史遗迹以及民俗风情,民国,栝苍古道,浙江图书馆1921年油印本
S002,Folklore,冯公大帝,口述者：沈洪法 记录者：丁金焕,清,栝苍古道,缙云县民间文学集成卷
S003,Folklore,高机与吴三春,王达钦，讲述明朝弘治年间，龙泉丝绸作坊主吴文达的女儿吴三春与织绸能手高机之间的爱情故事,清,栝苍古道,缙云古城
