Start_Node_ID,Relationship_Type,End_Node_ID,Description
ZGC001,CONTAINS,LOC003,栝苍古道经过枫树湾村
ZGC001,CONTAINS,LOC004,栝苍古道经过银场村
ZGC001,CONTAINS,LOC005,栝苍古道经过余岭村
ZGC001,CONTAINS,LOC006,栝苍古道经过却金馆
ZGC001,CONTAINS,LOC007_THL,栝苍古道经过桃花岭
ZGC001,CONTAINS,LOC008_CJS,栝苍古道经过崇景寺
ZGC001,CONTAINS,LOC009_JKQ,栝苍古道经过荆坑桥
ZGC001,CONTAINS,LOC010_DDDQ,栝苍古道经过东渡大桥
LOC003,LOCATED_IN,LOC001,枫树湾村位于丽水市
LOC004,LOCATED_IN,LOC001,银场村位于丽水市
LOC005,LOCATED_IN,LOC001,余岭村位于丽水市
LOC006,LOCATED_IN,LOC001,却金馆位于丽水市
LOC007_THL,LOCATED_IN,LOC001,桃花岭位于丽水市
EVT001_FDGTLH,OCCURRED_AT,LOC007_THL,冯大杲率领山民开垦田地，种麻致富
EVT002_LYFGL,OCCURRED_AT,LOC006,楼钥仁慈爱民，为民伸张正义的故事
EVT003_HWYYJG,OCCURRED_AT,LOC006,何文渊‘却金’的故事
EVT004_TPGZS,OCCURRED_AT,ZGC001,300多太平天国志士的历史事件
TXT001,INSCRIBED_ON,ART003_GCGDS,北乡古栝苍道记刻在栝苍古道石碑上
TXT002,INSCRIBED_ON,ART003_GCGDS,冯公岭修路补记刻在栝苍古道石碑上
P002,DESCRIBES,LOC010_DDDQ,诗歌题缙云岭永望馆描写了东渡大桥
P003,DESCRIBES,LOC007_THL,诗歌缙云道中描写了桃花岭
P004,DESCRIBES,LOC006,诗歌栝苍道上描写了却金馆
T002,MENTIONS,ZGC001,桃花隘诸山记游记提及栝苍古道
T003,MENTIONS,ZGC001,仙都纪游游记提及栝苍古道
S002,OCCURRED_AT,ZGC001,民间传说冯公大帝发生在栝苍古道
S003,OCCURRED_AT,ZGC001,民间传说高机与吴三春发生在栝苍古道
